Word,Phonemic Transcription
chat,/tʃat/
chip,/tʃɪp/
chop,/tʃɒp/
chin,/tʃɪn/
cheese,/tʃiːz/
lunch,/lʌnʃ/
bench,/bɛnʃ/
catch,/katʃ/
ship,/ʃɪp/
shop,/ʃɒp/
shut,/ʃʌt/
shell,/ʃɛl/
shark,/ʃɑːk/
brush,/brʌʃ/
crash,/kraʃ/
wish,/wɪʃ/
thin,/θɪn/
thank,/θaŋk/
thick,/θɪk/
thief,/θiːf/
throne,/θrəʊn/
bath,/bɑːθ/
tooth,/tuːθ/
this,/ðɪs/
that,/ðat/
then,/ðɛn/
than,/ðan/
they,/ðeɪ/
them,/ðɛm/
feather,/fɛðə/
breathe,/briːð/
what,/wɒt/
when,/wɛn/
where,/wɛː/
which,/wɪtʃ/
whip,/wɪp/
whale,/weɪl/
whisk,/wɪsk/
whisper,/wɪspə/
phone,/fəʊn/
photo,/fəʊtəʊ/
phrase,/freɪz/
graph,/ɡrɑːf/
elephant,/ɛlᵻfənt/
alphabet,/alfəbɛt/
trophy,/trəʊfi/
orphan,/ɔːfn/
back,/bak/
pack,/pak/
rock,/rɒk/
sack,/sak/
duck,/dʌk/
lock,/lɒk/
kick,/kɪk/
quick,/kwɪk/
