Word,Phonemic Transcription
all,/ɔːl/
ball,/bɔːl/
call,/kɔːl/
tall,/tɔːl/
wall,/wɔːl/
fall,/fɔːl/
stall,/stɔːl/
hall,/hɔːl/
small,/smɔːl/
launch,/lɔːnʃ/
law,/lɔː/
saw,/sɔː/
raw,/rɔː/
jaw,/dʒɔː/
paw,/pɔː/
claw,/klɔː/
straw,/strɔː/
laugh,/lɑːf/
aunt,/ɑːnt/
cake,/keɪk/
make,/meɪk/
bake,/beɪk/
same,/seɪm/
game,/ɡeɪm/
name,/neɪm/
plate,/pleɪt/
skate,/skeɪt/
brave,/breɪv/
snake,/sneɪk/
trade,/treɪd/
frame,/freɪm/
shape,/ʃeɪp/
place,/pleɪs/
space,/speɪs/
rain,/reɪn/
train,/treɪn/
paint,/peɪnt/
wait,/weɪt/
tail,/teɪl/
mail,/meɪl/
brain,/breɪn/
chain,/tʃeɪn/
faint,/feɪnt/
sail,/seɪl/
claim,/kleɪm/
plain,/pleɪn/
grain,/ɡreɪn/
waist,/weɪst/
drain,/dreɪn/
play,/pleɪ/
day,/deɪ/
stay,/steɪ/
may,/meɪ/
way,/weɪ/
say,/seɪ/
gray,/ɡreɪ/
spray,/spreɪ/
clay,/kleɪ/
tray,/treɪ/
delay,/dᵻleɪ/
display,/dᵻspleɪ/
relay,/riːleɪ/
Sunday,/sʌndeɪ/
holiday,/hɒlᵻdeɪ/
eight,/eɪt/
weight,/weɪt/
freight,/freɪt/
sleigh,/sleɪ/
neighbour,/neɪbə/
break,/breɪk/
steak,/steɪk/
great,/ɡreɪt/
yea,/jeɪ/
they,/ðeɪ/
prey,/preɪ/
convey,/kənveɪ/
obey,/əbeɪ/
survey,/səːveɪ/
hey,/heɪ/
grey,/ɡreɪ/
