Word,Phonemic Transcription
bike,/bʌɪk/
hike,/hʌɪk/
like,/lʌɪk/
ride,/rʌɪd/
slide,/slʌɪd/
dive,/dʌɪv/
time,/tʌɪm/
fine,/fʌɪn/
mine,/mʌɪn/
prize,/prʌɪz/
drive,/drʌɪv/
crime,/krʌɪm/
line,/lʌɪn/
smile,/smʌɪl/
wide,/wʌɪd/
light,/lʌɪt/
night,/nʌɪt/
sight,/sʌɪt/
right,/rʌɪt/
bright,/brʌɪt/
flight,/flʌɪt/
tight,/tʌɪt/
might,/mʌɪt/
fight,/fʌɪt/
high,/hʌɪ/
sigh,/sʌɪ/
cry,/krʌɪ/
fry,/frʌɪ/
try,/trʌɪ/
my,/mʌɪ/
by,/bʌɪ/
sky,/skʌɪ/
shy,/ʃʌɪ/
dry,/drʌɪ/
why,/wʌɪ/
spy,/spʌɪ/
ply,/plʌɪ/
pie,/pʌɪ/
tie,/tʌɪ/
lie,/lʌɪ/
die,/dʌɪ/
vie,/vʌɪ/
cried,/krʌɪd/
tried,/trʌɪd/
fried,/frʌɪd/
denied,/dᵻnʌɪd/
untied,/ʌntʌɪd/
idea,/ʌɪdɪə/
item,/ʌɪtᵻm/
final,/fʌɪnl/
spider,/spʌɪdə/
pilot,/pʌɪlət/
silent,/sʌɪlənt/
diner,/dʌɪnə/
tiger,/tʌɪɡə/
vital,/vʌɪtl/
climate,/klʌɪmᵻt/
