Word,Phonemic Transcription
home,/həʊm/
bone,/bəʊn/
cone,/kəʊn/
stone,/stəʊn/
stove,/stəʊv/
hope,/həʊp/
joke,/dʒəʊk/
rope,/rəʊp/
nose,/nəʊz/
vote,/vəʊt/
hole,/həʊl/
globe,/ɡləʊb/
whole,/həʊl/
note,/nəʊt/
broke,/brəʊk/
boat,/bəʊt/
coat,/kəʊt/
goat,/ɡəʊt/
road,/rəʊd/
load,/ləʊd/
toad,/təʊd/
soap,/səʊp/
loaf,/ləʊf/
coast,/kəʊst/
float,/fləʊt/
moan,/məʊn/
groan,/ɡrəʊn/
throat,/θrəʊt/
oak,/əʊk/
goal,/ɡəʊl/
grow,/ɡrəʊ/
slow,/sləʊ/
snow,/snəʊ/
throw,/θrəʊ/
flow,/fləʊ/
crow,/krəʊ/
show,/ʃəʊ/
blow,/bləʊ/
glow,/ɡləʊ/
know,/nəʊ/
stow,/stəʊ/
window,/wɪndəʊ/
shadow,/ʃadəʊ/
borrow,/bɒrəʊ/
toe,/təʊ/
foe,/fəʊ/
doe,/dəʊ/
woe,/wəʊ/
hoe,/həʊ/
oboe,/əʊbəʊ/
aloe,/aləʊ/
canoe,/kənuː/
though,/ðəʊ/
although,/ɔːlðəʊ/
dough,/dəʊ/
