Word,Phonemic Transcription
cube,/kjuːb/
cute,/kjuːt/
use,/juːz/
mule,/mjuːl/
huge,/hjuːdʒ/
fuse,/fjuːz/
tube,/tjuːb/
flute,/fluːt/
rule,/ruːl/
amuse,/əmjuːz/
tune,/tjuːn/
excuse,/ᵻkskjuːs/
include,/ɪnkluːd/
duke,/djuːk/
pure,/pjʊə/
blue,/bluː/
true,/truː/
clue,/kluː/
due,/djuː/
glue,/ɡluː/
issue,/ɪʃuː/
rescue,/rɛskjuː/
argue,/ɑːɡjuː/
venue,/vɛnjuː/
value,/valjuː/
tissue,/tɪʃuː/
statue,/statʃuː/
continue,/kəntɪnjuː/
few,/fjuː/
new,/njuː/
chew,/tʃuː/
dew,/djuː/
view,/vjuː/
flew,/fluː/
grew,/ɡruː/
crew,/kruː/
stew,/stjuː/
renew,/rᵻnjuː/
preview,/priːvjuː/
screw,/skruː/
threw,/θruː/
withdrew,/wɪðdruː/
food,/fuːd/
mood,/muːd/
pool,/puːl/
tool,/tuːl/
room,/ruːm/
school,/skuːl/
cool,/kuːl/
fool,/fuːl/
moon,/muːn/
soon,/suːn/
spoon,/spuːn/
bloom,/bluːm/
gloom,/ɡluːm/
fruit,/fruːt/
suit,/suːt/
cruise,/kruːz/
juice,/dʒuːs/
bruise,/bruːz/
