Word,Phonemic Transcription
cat,/kat/
bat,/bat/
mat,/mat/
hat,/hat/
rat,/rat/
sat,/sat/
pat,/pat/
map,/map/
cap,/kap/
tap,/tap/
gap,/ɡap/
nap,/nap/
lap,/lap/
sap,/sap/
bag,/baɡ/
rag,/raɡ/
tag,/taɡ/
wag,/waɡ/
lag,/laɡ/
sag,/saɡ/
nag,/naɡ/
fan,/fan/
man,/man/
pan,/pan/
ran,/ran/
tan,/tan/
van,/van/
can,/kan/
dad,/dad/
sad,/sad/
bad,/bad/
mad,/mad/
mall,/mal/
lad,/lad/
had,/had/
jam,/dʒam/
ram,/ram/
ham,/ham/
yam,/jam/
dam,/dam/
clam,/klam/
ant,/ant/
sand,/sand/
land,/land/
hand,/hand/
band,/band/
lamp,/lamp/
rack,/rak/
back,/bak/
pack,/pak/
sack,/sak/
tack,/tak/
snack,/snak/
camp,/kamp/
damp,/damp/
ramp,/ramp/
lamp,/lamp/
stamp,/stamp/
bank,/baŋk/
sank,/saŋk/
rank,/raŋk/
thank,/θaŋk/
crank,/kraŋk/
clap,/klap/
flap,/flap/
snap,/snap/
trap,/trap/
slap,/slap/
