Word,Phonemic Transcription
bed,/bɛd/
fed,/fɛd/
led,/lɛd/
red,/rɛd/
wed,/wɛd/
pet,/pɛt/
set,/sɛt/
met,/mɛt/
get,/ɡɛt/
let,/lɛt/
wet,/wɛt/
net,/nɛt/
jet,/dʒɛt/
bet,/bɛt/
vet,/vɛt/
pen,/pɛn/
men,/mɛn/
den,/dɛn/
ten,/tɛn/
hen,/hɛn/
when,/wɛn/
peg,/pɛɡ/
leg,/lɛɡ/
beg,/bɛɡ/
keg,/kɛɡ/
fell,/fɛl/
sell,/sɛl/
tell,/tɛl/
well,/wɛl/
yell,/jɛl/
bell,/bɛl/
shell,/ʃɛl/
spell,/spɛl/
hem,/hɛm/
gem,/dʒɛm/
them,/ðɛm/
web,/wɛb/
sled,/slɛd/
nest,/nɛst/
best,/bɛst/
rest,/rɛst/
test,/tɛst/
vest,/vɛst/
pest,/pɛst/
west,/wɛst/
step,/stɛp/
smell,/smɛl/
press,/prɛs/
dress,/drɛs/
blend,/blɛnd/
trend,/trɛnd/
flesh,/flɛʃ/
stretch,/strɛtʃ/
blend,/blɛnd/
shred,/ʃrɛd/
shelf,/ʃɛlf/
bench,/bɛnʃ/
belt,/bɛlt/
tent,/tɛnt/
rent,/rɛnt/
lend,/lɛnd/
help,/hɛlp/
melt,/mɛlt/
dent,/dɛnt/
sent,/sɛnd/
kept,/kɛpt/
felt,/fɛlt/
left,/lɛft/
bent,/bɛnt/
rest,/rɛst/
chest,/tʃɛst/
desk,/dɛsk/
test,/tɛst/
nest,/nɛst/
crest,/krɛst/
swept,/swɛpt/
check,/tʃɛk/
neck,/nɛk/
peck,/pɛk/
deck,/dɛk/
speck,/spɛk/
wreck,/rɛk/
shed,/ʃɛd/
fetch,/fɛtʃ/
wrench,/rɛnʃ/
stretch,/strɛtʃ/
