Word,Phonemic Transcription
sit,/sɪt/
hit,/hɪt/
bit,/bɪt/
fit,/fɪt/
lit,/lɪt/
kit,/kɪt/
pit,/pɪt/
wit,/wɪt/
fin,/fɪn/
pin,/pɪn/
win,/wɪn/
tin,/tɪn/
sin,/sɪn/
lip,/lɪp/
sip,/sɪp/
zip,/zɪp/
rip,/rɪp/
dip,/dɪp/
tip,/tɪp/
hip,/hɪp/
big,/bɪɡ/
dig,/dɪɡ/
fig,/fɪɡ/
pig,/pɪɡ/
wig,/wɪɡ/
kid,/kɪd/
lid,/lɪd/
rid,/rɪd/
hid,/hɪd/
bid,/bɪd/
bin,/bɪn/
kin,/kɪn/
chin,/tʃɪn/
rim,/rɪm/
dim,/dɪm/
him,/hɪm/
slim,/slɪm/
trim,/trɪm/
grip,/ɡrɪp/
slip,/slɪp/
skip,/skɪp/
swim,/swɪm/
spin,/spɪn/
drip,/drɪp/
flip,/flɪp/
trip,/trɪp/
brick,/brɪk/
click,/klɪk/
flick,/flɪk/
trick,/trɪk/
slick,/slɪk/
print,/prɪnt/
skimp,/skɪmp/
mint,/mɪnt/
hint,/hɪnt/
lift,/lɪft/
gift,/ɡɪft/
swift,/swɪft/
drift,/drɪft/
shift,/ʃɪft/
list,/lɪst/
twist,/twɪst/
crisp,/krɪsp/
squint,/skwɪnt/
sprint,/sprɪnt/
shin,/ʃɪn/
thin,/θɪn/
chin,/tʃɪn/
ship,/ʃɪp/
whip,/wɪp/
strip,/strɪp/
clip,/klɪp/
brim,/brɪm/
print,/prɪnt/
stitch,/stɪtʃ/
