Word,Phonemic Transcription
mop,/mɒp/
hop,/hɒp/
top,/tɒp/
pop,/pɒp/
cop,/kɒp/
stop,/stɒp/
drop,/drɒp/
pot,/pɒt/
hot,/hɒt/
dot,/dɒt/
lot,/lɒt/
got,/ɡɒt/
not,/nɒt/
rot,/rɒt/
shot,/ʃɒt/
spot,/spɒt/
dog,/dɒɡ/
fog,/fɒɡ/
jog,/dʒɒɡ/
log,/lɒɡ/
hog,/hɒɡ/
rob,/rɒb/
sob,/sɒb/
job,/dʒɒb/
mob,/mɒb/
lob,/lɒb/
nod,/nɒd/
rod,/rɒd/
pod,/pɒd/
god,/ɡɒd/
fox,/fɒks/
box,/bɒks/
ox,/ɒks/
frog,/frɒɡ/
crop,/krɒp/
stop,/stɒp/
flock,/flɒk/
plot,/plɒt/
spot,/spɒt/
clop,/klɒp/
drop,/drɒp/
clog,/klɒɡ/
smog,/smɒɡ/
blond,/blɒnd/
soft,/sɒft/
loft,/lɒft/
lost,/lɒst/
cost,/kɒst/
frost,/frɒst/
fond,/fɒnd/
bond,/bɒnd/
pond,/pɒnd/
shop,/ʃɒp/
chop,/tʃɒp/
shot,/ʃɒt/
shock,/ʃɒk/
flock,/flɒk/
block,/blɒk/
clock,/klɒk/
rock,/rɒk/
stock,/stɒk/
