Word,Phonemic Transcription
lamb,/lam/
comb,/kəʊm/
thumb,/θʌm/
debt,/dɛt/
doubt,/daʊt/
climb,/klʌɪm/
tomb,/tuːm/
bomb,/bɒm/
knit,/nɪt/
knee,/niː/
know,/nəʊ/
knife,/nʌɪf/
knock,/nɒk/
knob,/nɒb/
knot,/nɒt/
kneel,/niːl/
write,/rʌɪt/
wrist,/rɪst/
wrong,/rɒŋ/
wrap,/rap/
wrench,/rɛnʃ/
wreck,/rɛk/
wrinkle,/rɪŋkl/
wrestle,/rɛsl/
gnat,/nat/
gnaw,/nɔː/
sign,/sʌɪn/
design,/dᵻzʌɪn/
reign,/reɪn/
align,/əlʌɪn/
campaign,/kampeɪn/
foreign,/fɒrᵻn/
hour,/aʊə/
honest,/ɒnᵻst/
heir,/ɛː/
honor,/ɒnə/
ghost,/ɡəʊst/
vehicle,/viːᵻkl/
chorus,/kɔːrəs/
rhyme,/rʌɪm/
calm,/kɑːm/
walk,/wɔːk/
talk,/tɔːk/
chalk,/tʃɔːk/
yolk,/jəʊk/
half,/hɑːf/
could,/kʊd/
would,/wʊd/
castle,/kɑːsl/
whistle,/wɪsl/
fasten,/fɑːsn/
listen,/lɪsn/
hasten,/heɪsn/
often,/ɒfən/
ballet,/baleɪ/
gourmet,/ɡʊəmeɪ/
guess,/ɡɛs/
guide,/ɡʌɪd/
guitar,/ɡᵻtɑː/
guest,/ɡɛst/
guard,/ɡɑːd/
building,/bɪldɪŋ/
biscuit,/bɪskɪt/
disguise,/dᵻskʌɪz/
psychology,/sʌɪkɒlədʒi/
pneumonia,/njuːməʊnɪə/
pseudo,/sjuːdəʊ/
pterodactyl,/ˌtɛrədaktᵻl/
psyche,/sʌɪki/
receipt,/rᵻsiːt/
cupboard,/kʌbəd/
corps,/kɔː/
