Word,Phonemic Transcription
blame,/bleɪm/
black,/blak/
blue,/bluː/
blow,/bləʊ/
block,/blɒk/
clap,/klap/
clip,/klɪp/
climb,/klʌɪm/
close,/kləʊs/
clock,/klɒk/
flag,/flaɡ/
flip,/flɪp/
flow,/fləʊ/
flame,/fleɪm/
flock,/flɒk/
glad,/ɡlad/
glass,/ɡlɑːs/
glue,/ɡluː/
glow,/ɡləʊ/
glove,/ɡlʌv/
plan,/plan/
plant,/plɑːnt/
play,/pleɪ/
plum,/plʌm/
plop,/plɒp/
slap,/slap/
slide,/slʌɪd/
slip,/slɪp/
slip,/slɪp/
slow,/sləʊ/
slug,/slʌɡ/
brag,/braɡ/
bring,/brɪŋ/
brick,/brɪk/
broom,/bruːm/
brush,/brʌʃ/
crab,/krab/
crash,/kraʃ/
crib,/krɪb/
crop,/krɒp/
crust,/krʌst/
drop,/drɒp/
drip,/drɪp/
drum,/drʌm/
dress,/drɛs/
frog,/frɒɡ/
free,/friː/
from,/frɒm/
fry,/frʌɪ/
grab,/ɡrab/
green,/ɡriːn/
groom,/ɡruːm/
grin,/ɡrɪn/
trap,/trap/
trip,/trɪp/
trick,/trɪk/
truck,/trʌk/
trim,/trɪm/
scab,/skab/
scan,/skan/
scare,/skɛː/
school,/skuːl/
scout,/skaʊt/
scoot,/skuːt/
skate,/skeɪt/
skin,/skɪn/
skip,/skɪp/
slam,/slam/
slap,/slap/
slip,/slɪp/
slob,/slɒb/
slot,/slɒt/
smack,/smak/
small,/smɔːl/
smile,/smʌɪl/
smoke,/sməʊk/
snack,/snak/
snap,/snap/
snip,/snɪp/
snug,/snʌɡ/
spin,/spɪn/
spit,/spɪt/
spot,/spɒt/
spoon,/spuːn/
stack,/stak/
stand,/stand/
stool,/stuːl/
stop,/stɒp/
straw,/strɔː/
swam,/swam/
swat,/swɒt/
sweet,/swiːt/
swim,/swɪm/
swing,/swɪŋ/
lamp,/lamp/
bump,/bʌmp/
camp,/kamp/
dump,/dʌmp/
jump,/dʒʌmp/
land,/land/
hand,/hand/
sand,/sand/
bend,/bɛnd/
send,/sɛnd/
wind,/wɪnd/
bank,/baŋk/
tank,/taŋk/
sink,/sɪŋk/
pink,/pɪŋk/
task,/tɑːsk/
mask,/mɑːsk/
risk,/rɪsk/
bask,/bɑːsk/
milk,/mɪlk/
silk,/sɪlk/
felt,/fɛlt/
belt,/bɛlt/
melt,/mɛlt/
nest,/nɛst/
best,/bɛst/
list,/lɪst/
fist,/fɪst/
mist,/mɪst/
