Word,Phonemic Transcription
boil,/bɔɪl/
coil,/kɔɪl/
foil,/fɔɪl/
soil,/sɔɪl/
toil,/tɔɪl/
join,/dʒɔɪn/
point,/pɔɪnt/
coin,/kɔɪn/
noise,/nɔɪz/
choice,/tʃɔɪs/
voice,/vɔɪs/
spoil,/spɔɪl/
boy,/bɔɪ/
toy,/tɔɪ/
joy,/dʒɔɪ/
enjoy,/ᵻndʒɔɪ/
annoy,/ənɔɪ/
ahoy,/əhɔɪ/
ploy,/plɔɪ/
out,/aʊt/
shout,/ʃaʊt/
loud,/laʊd/
cloud,/klaʊd/
sound,/saʊnd/
found,/faʊnd/
count,/kaʊnt/
round,/raʊnd/
about,/əbaʊt/
mount,/maʊnt/
scout,/skaʊt/
bounce,/baʊns/
cow,/kaʊ/
how,/haʊ/
now,/naʊ/
wow,/waʊ/
plow,/plaʊ/
brown,/braʊn/
crown,/kraʊn/
clown,/klaʊn/
frown,/fraʊn/
town,/taʊn/
down,/daʊn/
haul,/hɔːl/
fault,/fɔːlt/
vault,/vɔːlt/
launch,/lɔːnʃ/
haunt,/hɔːnt/
sauce,/sɔːs/
pause,/pɔːz/
cause,/kɔːz/
applaud,/əplɔːd/
saw,/sɔː/
paw,/pɔː/
law,/lɔː/
jaw,/dʒɔː/
raw,/rɔː/
draw,/drɔː/
claw,/klɔː/
straw,/strɔː/
flaw,/flɔː/
crawl,/krɔːl/
strawberry,/strɔːbəri/
