Word,Phonemic Transcription
eat,/iːt/
seat,/siːt/
meat,/miːt/
beat,/biːt/
read,/riːd/
reach,/riːtʃ/
teach,/tiːtʃ/
leaf,/liːf/
dream,/driːm/
peace,/piːs/
heat,/hiːt/
least,/liːst/
scream,/skriːm/
stream,/striːm/
repeat,/rᵻpiːt/
me,/miː/
he,/hiː/
she,/ʃiː/
we,/wiː/
be,/biː/
equal,/iːkwəl/
even,/iːvn/
begin,/bᵻɡɪn/
defend,/dᵻfɛnd/
create,/krieɪt/
hotel,/həʊtɛl/
behind,/bᵻhʌɪnd/
recent,/riːsnt/
secret,/siːkrᵻt/
region,/riːdʒən/
chief,/tʃiːf/
brief,/briːf/
thief,/θiːf/
field,/fiːld/
belief,/bᵻliːf/
piece,/piːs/
relief,/rᵻliːf/
niece,/niːs/
achieve,/ətʃiːv/
yield,/jiːld/
