Word,Phonemic Transcription
car,/kɑː/
bar,/bɑː/
star,/stɑː/
jar,/dʒɑː/
far,/fɑː/
part,/pɑːt/
start,/stɑːt/
hard,/hɑːd/
yard,/jɑːd/
sharp,/ʃɑːp/
farm,/fɑːm/
cart,/kɑːt/
dark,/dɑːk/
bark,/bɑːk/
chart,/tʃɑːt/
smart,/smɑːt/
march,/mɑːtʃ/
scar,/skɑː/
harp,/hɑːp/
her,/həː/
term,/təːm/
perch,/pəːtʃ/
verb,/vəːb/
fern,/fəːn/
stern,/stəːn/
clerk,/klɑːk/
germ,/dʒəːm/
serve,/səːv/
nerve,/nəːv/
supper,/sʌpə/
summer,/sʌmə/
under,/ʌndə/
never,/nɛvə/
letter,/lɛtə/
better,/bɛtə/
member,/mɛmbə/
sir,/səː/
bird,/bəːd/
stir,/stəː/
third,/θəːd/
shirt,/ʃəːt/
skirt,/skəːt/
thirst,/θəːst/
twirl,/twəːl/
girl,/ɡəːl/
first,/fəːst/
dirt,/dəːt/
birth,/bəːθ/
flirt,/fləːt/
firm,/fəːm/
chirp,/tʃəːp/
for,/fɔː/
corn,/kɔːn/
storm,/stɔːm/
short,/ʃɔːt/
form,/fɔːm/
port,/pɔːt/
fort,/fɔːt/
born,/bɔːn/
horn,/hɔːn/
north,/nɔːθ/
horse,/hɔːs/
score,/skɔː/
shore,/ʃɔː/
store,/stɔː/
sport,/spɔːt/
thorn,/θɔːn/
world,/wəːld/
worn,/whɔːn/
fur,/fəː/
burn,/bəːn/
turn,/təːn/
curl,/kəːl/
hurt,/həːt/
burst,/bəːst/
church,/tʃəːtʃ/
nurse,/nəːs/
curve,/kəːv/
purse,/pəːs/
surf,/səːf/
blur,/bləː/
spur,/spəː/
blurt,/bləːt/
curb,/kəːb/
purr,/pəː/
slurp,/sləːp/
