Word,Phonemic Transcription
cup,/kʌp/
mud,/mʌd/
bus,/bʌs/
sun,/sʌn/
bun,/bʌn/
run,/rʌn/
fun,/fʌn/
bug,/bʌɡ/
hug,/hʌɡ/
rug,/rʌɡ/
cut,/kʌt/
nut,/nʌt/
hut,/hʌt/
gum,/ɡʌm/
sum,/sʌm/
tub,/tʌb/
cub,/kʌb/
pub,/pʌb/
bud,/bʌd/
mug,/mʌɡ/
dug,/dʌɡ/
jug,/dʒʌɡ/
luck,/lʌk/
duck,/dʌk/
pluck,/plʌk/
truck,/trʌk/
stuck,/stʌk/
bump,/bʌmp/
jump,/dʒʌmp/
lump,/lʌmp/
dump,/dʌmp/
pump,/pʌmp/
hush,/hʌʃ/
rush,/rʌʃ/
crush,/krʌʃ/
flush,/flʌʃ/
club,/klʌb/
drum,/drʌm/
plug,/plʌɡ/
snug,/snʌɡ/
brush,/brʌʃ/
crust,/krʌst/
trust,/trʌst/
blush,/blʌʃ/
fund,/fʌnd/
